"Assign To","Assign To"
"Assign Type","Assign Type"
"Customer Groups","Customer Groups"
"Individual Customers","Individual Customers"
"Add Customers","Add Customers"
"Hide Customers Search","Hide Customers Search"
ID,ID
"Rule Name","Rule Name"
"Coupon Code","Coupon Code"
"Date Start","Date Start"
"Date Expire","Date Expire"
Status,Status
Groups,Groups
Customers,Customers
Priority,Priority
Name,Name
Email,Email
Group,Group
Action,Action
Add,Add
"Manage Individual Promotions","Manage Individual Promotions"
"Aitoc Individual Promotions","Aitoc Individual Promotions"
"NOT LOGGED IN","NOT LOGGED IN"
