"Relevance","Pertinence"
"Grid","Grille"
"List","Liste"
"AdjustWare Layered Navigation Pro Section","Navigation stratifiée AdjustWare ProSection "
"Layered Navigation Pro","Navigation stratifiée Pro"
"Categories Filter","Filtre des catégories"
"Price Filter","Filtre des prix"
"Remove Links from the Navigation","Supprimer les liens de la navigation"
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","Cela empêche la pénalité de `doubler le contenu` des moteurs de recherche, mais les clients avec le JavaScript désactivé ne seront pas en mesure d'utiliser les filtre"
"Reset Filters while Click on Another Category","Réinitialiser les filtres lors de Cliquez sur une autre catégorie"
"Reload page while Click on Another Category","Recharger la page lors de Cliquez sur une autre catégorie"
"Defines filtering logic","Définit la logique de filtrage"
"Breadcrumbs","L'ordre de passage"
"None","Aucun "
"OR","OU"
"AND","ET"
"Default","Par défaut"
"Slider","Courseur"
"Input","Entrée"
"From","De"
"To","A"
"Go","Aller"
"Range:","Gamme:"
"Value:","Valeur:"
"Shop by","Magasiner par"
"Clear All","Effacer tout"
"Remove This Item","Supprimer cet item"
"Show More Attributes","Mostrar Más atributos"
"Show Less Attributes","Mostrar Menos Atributos"
"Show More","Mostrar Más"
"Show Less","Mostrar Menos"
"Layered Navigation Pro - Ranging Filters","Layered Navigation Pro - Filtros Ranging"
"Automatic ranging for Attributes","Automática que van de los atributos"
"Automatic ranging for Values","Automática que van en Valores"
"Featured Attributes Limit","Atributos destacados Límite"
"Featured Values Limit in Attributes","Los valores destacados en el límite de los atributos"
"Attributes and Values usage refreshing period","Atributos y los valores del período de uso refrescante"
"Period in hours","Período en horas"
"Configurable Product Attributes","Los atributos configurables del producto"
"Index configurable product attributes for layered navigation pro filtering","Índice de atributos configurables de productos para la navegación por capas pro filtrado"
